,Height,Flow,Distance_water_source_x,Distance_water_source_y,Zone
0,5.1,3.5,1.4,0.2,Favorable
1,4.9,3.0,1.4,0.2,Favorable
2,4.7,3.2,1.3,0.2,Favorable
3,4.6,3.1,1.5,0.2,Favorable
4,5.0,3.6,1.4,0.2,Favorable
5,5.4,3.9,1.7,0.4,Favorable
6,4.6,3.4,1.4,0.3,Favorable
7,5.0,3.4,1.5,0.2,Favorable
8,4.4,2.9,1.4,0.2,Favorable
9,4.9,3.1,1.5,0.1,Favorable
10,5.4,3.7,1.5,0.2,Favorable
11,4.8,3.4,1.6,0.2,Favorable
12,4.8,3.0,1.4,0.1,Favorable
13,4.3,3.0,1.1,0.1,Favorable
14,5.8,4.0,1.2,0.2,Favorable
15,5.7,4.4,1.5,0.4,Favorable
16,5.4,3.9,1.3,0.4,Favorable
17,5.1,3.5,1.4,0.3,Favorable
18,5.7,3.8,1.7,0.3,Favorable
19,5.1,3.8,1.5,0.3,Favorable
20,5.4,3.4,1.7,0.2,Favorable
21,5.1,3.7,1.5,0.4,Favorable
22,4.6,3.6,1.0,0.2,Favorable
23,5.1,3.3,1.7,0.5,Favorable
24,4.8,3.4,1.9,0.2,Favorable
25,5.0,3.0,1.6,0.2,Favorable
26,5.0,3.4,1.6,0.4,Favorable
27,5.2,3.5,1.5,0.2,Favorable
28,5.2,3.4,1.4,0.2,Favorable
29,4.7,3.2,1.6,0.2,Favorable
30,4.8,3.1,1.6,0.2,Favorable
31,5.4,3.4,1.5,0.4,Favorable
32,5.2,4.1,1.5,0.1,Favorable
33,5.5,4.2,1.4,0.2,Favorable
34,4.9,3.1,1.5,0.2,Favorable
35,5.0,3.2,1.2,0.2,Favorable
36,5.5,3.5,1.3,0.2,Favorable
37,4.9,3.6,1.4,0.1,Favorable
38,4.4,3.0,1.3,0.2,Favorable
39,5.1,3.4,1.5,0.2,Favorable
40,5.0,3.5,1.3,0.3,Favorable
41,4.5,2.3,1.3,0.3,Favorable
42,4.4,3.2,1.3,0.2,Favorable
43,5.0,3.5,1.6,0.6,Favorable
44,5.1,3.8,1.9,0.4,Favorable
45,4.8,3.0,1.4,0.3,Favorable
46,5.1,3.8,1.6,0.2,Favorable
47,4.6,3.2,1.4,0.2,Favorable
48,5.3,3.7,1.5,0.2,Favorable
49,5.0,3.3,1.4,0.2,Favorable
50,7.0,3.2,4.7,1.4,Standard
51,6.4,3.2,4.5,1.5,Standard
52,6.9,3.1,4.9,1.5,Standard
53,5.5,2.3,4.0,1.3,Standard
54,6.5,2.8,4.6,1.5,Standard
55,5.7,2.8,4.5,1.3,Standard
56,6.3,3.3,4.7,1.6,Standard
57,4.9,2.4,3.3,1.0,Standard
58,6.6,2.9,4.6,1.3,Standard
59,5.2,2.7,3.9,1.4,Standard
60,5.0,2.0,3.5,1.0,Standard
61,5.9,3.0,4.2,1.5,Standard
62,6.0,2.2,4.0,1.0,Standard
63,6.1,2.9,4.7,1.4,Standard
64,5.6,2.9,3.6,1.3,Standard
65,6.7,3.1,4.4,1.4,Standard
66,5.6,3.0,4.5,1.5,Standard
67,5.8,2.7,4.1,1.0,Standard
68,6.2,2.2,4.5,1.5,Standard
69,5.6,2.5,3.9,1.1,Standard
70,5.9,3.2,4.8,1.8,Standard
71,6.1,2.8,4.0,1.3,Standard
72,6.3,2.5,4.9,1.5,Standard
73,6.1,2.8,4.7,1.2,Standard
74,6.4,2.9,4.3,1.3,Standard
75,6.6,3.0,4.4,1.4,Standard
76,6.8,2.8,4.8,1.4,Standard
77,6.7,3.0,5.0,1.7,Standard
78,6.0,2.9,4.5,1.5,Standard
79,5.7,2.6,3.5,1.0,Standard
80,5.5,2.4,3.8,1.1,Standard
81,5.5,2.4,3.7,1.0,Standard
82,5.8,2.7,3.9,1.2,Standard
83,6.0,2.7,5.1,1.6,Standard
84,5.4,3.0,4.5,1.5,Standard
85,6.0,3.4,4.5,1.6,Standard
86,6.7,3.1,4.7,1.5,Standard
87,6.3,2.3,4.4,1.3,Standard
88,5.6,3.0,4.1,1.3,Standard
89,5.5,2.5,4.0,1.3,Standard
90,5.5,2.6,4.4,1.2,Standard
91,6.1,3.0,4.6,1.4,Standard
